timestamp,target,latency_ms,success
2026-03-06T13:09:08.652162,1.1.1.1,16.5,True
2026-03-06T13:10:08.965292,8.8.8.8,17.5,True
2026-03-06T13:10:08.965292,1.1.1.1,16.9,True
2026-03-06T13:11:09.249786,8.8.8.8,18.2,True
2026-03-06T13:11:09.249786,1.1.1.1,12.5,True
2026-03-06T13:12:09.538216,8.8.8.8,15.8,True
2026-03-06T13:12:09.538216,1.1.1.1,17.1,True
2026-03-06T13:13:09.818730,8.8.8.8,19.9,True
2026-03-06T13:13:09.818730,1.1.1.1,17.8,True
2026-03-06T13:14:10.123434,8.8.8.8,18.5,True
2026-03-06T13:14:10.123434,1.1.1.1,17.0,True
2026-03-06T13:15:10.363312,8.8.8.8,15.0,True
2026-03-06T13:15:10.363312,1.1.1.1,16.2,True
2026-03-06T13:16:10.645150,8.8.8.8,14.1,True
2026-03-06T13:16:10.645150,1.1.1.1,19.0,True
2026-03-06T13:17:10.943289,8.8.8.8,17.3,True
2026-03-06T13:17:10.943289,1.1.1.1,19.3,True
2026-03-06T13:18:11.244047,8.8.8.8,18.8,True
2026-03-06T13:18:11.244047,1.1.1.1,16.3,True
2026-03-06T13:19:11.552119,8.8.8.8,16.4,True
2026-03-06T13:19:11.552119,1.1.1.1,16.9,True
2026-03-06T13:20:11.849604,8.8.8.8,16.4,True
2026-03-06T13:20:11.849604,1.1.1.1,20.1,True
2026-03-06T13:21:12.148766,8.8.8.8,16.5,True
2026-03-06T13:21:12.148766,1.1.1.1,14.4,True
2026-03-06T13:22:12.421388,8.8.8.8,20.9,True
2026-03-06T13:22:12.421388,1.1.1.1,18.5,True
2026-03-06T13:23:12.722419,8.8.8.8,16.7,True
2026-03-06T13:23:12.722419,1.1.1.1,19.4,True
2026-03-06T13:24:13.003512,8.8.8.8,20.3,True
2026-03-06T13:24:13.003512,1.1.1.1,17.9,True
2026-03-06T13:25:13.307056,8.8.8.8,16.3,True
2026-03-06T13:25:13.307056,1.1.1.1,15.9,True
2026-03-06T13:26:13.614294,8.8.8.8,18.8,True
2026-03-06T13:26:13.614294,1.1.1.1,16.2,True
2026-03-06T13:27:13.906946,8.8.8.8,18.0,True
2026-03-06T13:27:13.906946,1.1.1.1,16.5,True
2026-03-06T13:28:14.196386,8.8.8.8,17.2,True
2026-03-06T13:28:14.196386,1.1.1.1,20.5,True
2026-03-06T13:29:14.490683,8.8.8.8,18.6,True
2026-03-06T13:29:14.490683,1.1.1.1,16.8,True
